"Polish PM","Poland constituency"
"French Government","France constituency"
"Platforma Obywatelska","European Parliament constituency"
"European Research Group","European Research Group constituency"
"UK Government","United Kingdom constituency"
"Auswärtiges Amt","Ordinary workers constituency"
"European Union","Polish infrastructure constituency"
"European Commission","Europe constituency"
"European Commission","European citizens constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Transport sector constituency"
"UK Government","British people constituency"
"UK Labour Party","United Kingdom constituency"
"UK Conservative Party","United Kingdom constituency"
"UK Civil Service","United Kingdom constituency"
"Brexit negotiator","The EU constituency"
"Gazeta Wyborcza","Polish people constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Poles constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Poland constituency"
"Gazeta Wyborcza","Disabled children constituency"
"Gazeta Wyborcza","Disabled children constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Russian Government","France constituency"
"Polish PM","Europeans constituency"
"Byrt Andrzej","Europe constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Center for European Policy Analysis","Europeans constituency"
"Platforma Obywatelska","Malopolska constituency"
"Markiel Krzysztof","Malopolska constituency"
"Polish vox pop","European constituency"
"Fakt","Poland constituency"
"Polish vox pop","Poland constituency"
"Razem","Polish workers constituency"
"Polish PM","CEECs constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Polish Embassy in the UK","Poles constituency"
"European Court of Justice","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Polish PM","Polish constituency"
"The City is Ours","Warsaw constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Avaaz","Europe constituency"
"US President","US auto industry constituency"
"Gazeta Wyborcza","Polish citizens constituency"
"Polskie Stronnictwo Ludowe","PSL voters (party) constituency"
"Platforma Obywatelska","Polskie Stronnictwo Ludowe constituency"
"Polish PM","Poland constituency"
"Bundesverteidigungsministerium","Women constituency"
"Bundesverteidigungsministerium","The EU ('Our Union') constituency"
"Bundesverteidigungsministerium","Europe constituency"
"Polish PM","Poland constituency"
"Prawo i Sprawiedliwosc","Polish interests constituency"
"Naftohaz","The public constituency"
"Ukrainian President","Ukrainians constituency"
"Ukrainian Government","Ukraine constituency"
"Prezes Rady Ministrów","Szydlo Beata constituency"
"Prawo i Sprawiedliwosc","Szydlo Beata constituency"
"French Government","France constituency"
"Council of Europe","humans (general) constituency"
"Ligue des droits de l'Hommes","Demonstrators constituency"
"Italian vox pop","City residents constituency"
"Brandenburg Ministerium für Kultur","The people constituency"
"Platforma Obywatelska","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Polish interests constituency"
"US President","United States constituency"
"President of Turkey","Turkey constituency"
"Brexit negotiator","EU citizens constituency"
"EU Council","British people constituency"
"EU Council","British people constituency"
"European Commission","Poland constituency"
"PFPZ","Polish farmers constituency"
"Regione Lombardia","Lombardian territory constituency"
"Tobis Andrzej","Poland constituency"
"President of Turkey","Turkey constituency"
"NATO Secretary General","Europe constituency"
"US House of Representatives","Armenians constituency"
"Jagiellonian University","European citizens constituency"
"En Marche","European continent constituency"
"Polish judges","Polish state constituency"
"Office for National Statistics","Polish citizens constituency"
"Scottish National Party","Scotland constituency"
"Prawo i Sprawiedliwosc","Polish citizens constituency"
"Polish Government","Poland constituency"
"Blumsztajn Weseryn","Poland constituency"
"Turkish Foreign Ministry","Turkey constituency"
"British PM","United Kingdom constituency"
"President of Turkey","Turkey constituency"
"TAYSAD Association of Automotive Industry","Turkey constituency"
"Platforma Obywatelska","Poles constituency"
"Ministero del lavoro","Italian women constituency"
"PIGO","Polish entrepreneurs constituency"
"SUEZ","Poland constituency"
"<U+200E>European Environmental Bureau","Poland constituency"
"The New European","British society constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"President of Israel","Jews constituency"
"Krajowa Rada Sadownictwa","Poland constituency"
"Platforma Obywatelska","Europe constituency"
"Vice-President of European Commission","judiciary constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Partit Nazzjonalista","Europe constituency"
"Gazeta Wyborcza","Poland constituency"
"President of Brazil","Brazilians constituency"
"President of Brazil","Brazil constituency"
"Sozialdemokratische Partei Deutschlands","EU citizens constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Judges and Poles constituency"
"Wiosna","Poland constituency"
"minister sprawiedliwosci","The Poles constituency"
"Prawo i Sprawiedliwosc","Polish citizens constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Polish senator","Judges / judiciary constituency"
"La Repubblica","Italians constituency"
"US President","US citizens constituency"
"European Central Bank","Eurozone banks constituency"
"Summers Larry","United States constituency"
"Ministero Esteri IT","Italy constituency"
"Platforma Obywatelska","Poland constituency"
"EU Commissioner for Agriculture","Poles constituency"
"Vaticano","Ordinary people constituency"
"Presidente della repubblica","Europe constituency"
"Kozminski University","Poles constituency"
"Baran Adam","Europe constituency"
"President of the EU Commission","Europeans constituency"
"Polityka","Poland constituency"
"Polityka","Poles constituency"
"Do Rzeczy","Polish people constituency"
"Harari Yuval","Citizens constituency"
"Gazeta Polska","Gazeta Polska journalists constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Standard & Poor","Poland constituency"
"FitchRatings","Polish economy constituency"
"Morgan Stanley","Polish economy constituency"
"Gazeta Wyborcza","Poland constituency"
"Tokarczuk Olga","society / community (general) constituency"
"President of the EU Commission","The EU constituency"
"Vice-President of European Commission","The EU constituency"
"Süddeutsche Zeitung","European community constituency"
"Ifo Institut","German companies constituency"
"ING","European companies constituency"
"German Government","Germany constituency"
"Ministerstwo Sprawiedliwosci","Poland constituency"
"Croatian vox pop","Croats constituency"
"Gaz-System","European Union constituency"
"Instytut Nauk Prawnych Polskiej Akademii Nauk","Poland constituency"
"Mock Stanislow","Poland constituency"
"El Pais","Polish democracy constituency"
"President of the EU Commission","Poland constituency"
"Malta Chamber of Commerce","Malta constituency"
"Sveikatos apsaugos ministerija","Lithuanian people constituency"
"Sveikatos apsaugos ministerija","Lithuanians constituency"
"Polish PM","Poland constituency"
"Ministerstwo Rozwoju Regionalnego","Polish entrepreneurs constituency"
"Gazeta Wyborcza","Poland constituency"
"Dzieciatkowski Tomasz","Poland constituency"
"Hirsch Rafal","Polish people constituency"
"Bundnis 90 - Die Grunen","Interpreters / translators constituency"
"European Commission spokesperson","EU citizens constituency"
"Polish PM","Polish community constituency"
"Magyarország igazságügy","Hungarian people constituency"
"LitGrid","Lithuania constituency"
"Ministerstwo Funduszy","Poland constituency"
"French Government","French companies constituency"
"Centre for International Relations","Europe constituency"
"Ruch Prawdziwa Europa","Europe constituency"
"Electric Vehicles Promotion Foundation","Europe constituency"
"Polska Zielona Siec","Poland constituency"
"Do Rzeczy","Poland constituency"
"Do Rzeczy","Poland constituency"
"Sieci","Polish interests constituency"
"pénzügyminiszter","Hungary constituency"
"European Commission","Polish/EU legal order constituency"
"Bundesminister des Auswärtigen","Berlin (German Government) constituency"
"Die Linke","German military constituency"
"Sozialdemokratische Partei Deutschlands","Germany constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"EESC's Employers' Group","Polish aviation industry constituency"
"Wajrak Adam","Poland constituency"
"Polish embassy in Slovenia","Polish citizens constituency"
"Czech PM","Czech citizens constituency"
"Holownia Szymon","Poland constituency"
"Prezydent Rzeczypospolitej","Poles constituency"
"US President","Polish people constituency"
