"Polish senator","Judges / judiciary constituency"
"Ministero della Salute","Italy constituency"
"US State Department","US citizens constituency"
"US Embassy in Italy","American citizens constituency"
"US Embassy in Italy","American citizens constituency"
"Presidente del Consiglio","Italians constituency"
"Presidente del Consiglio","Italy constituency"
"Carbon Disclosure Project","Society constituency"
"Volkspartij voor Vrijheid en Democratie","Europe constituency"
"British PM","United Kingdom constituency"
"Syria Relief & Development","Syrian migrants constituency"
"European Commission","SMEs (general) constituency"
"Christlich Soziale Union","German SMEs constituency"
"Ministre chargé des Affaires européennes","Europeans constituency"
"European External Action Service","Danish fisher(wo)men constituency"
"DIHK","German companies constituency"
"Spanish farmer","Jaén farmers / food producers constituency"
"Government of Marocco","Canary islands / Spain constituency"
"Il Fatto Quotidiano","Italy constituency"
"ECDC","Europeans constituency"
"DIHK","German companies constituency"
"ECB President","European people constituency"
"Süddeutsche Zeitung","EU citizens constituency"
"La Repubblica","Italians constituency"
"US President","US citizens constituency"
"European Central Bank","Eurozone banks constituency"
"Summers Larry","United States constituency"
"Ministero Esteri IT","Italy constituency"
"President of the EU Commission","Italians constituency"
"Italian Government","Europe constituency"
"Ministero delle Finanze","NA constituency"
"German Government","Italy constituency"
"President of the EU Commission","Italians constituency"
"German Government","German population constituency"
"Austria","Austrian residents constituency"
"Italian Government","Italians constituency"
"US President","United States constituency"
"Turkish Government","Turkish Government constituency"
"JA21","Dutch nation constituency"
"Partij voor de Vrijheid","Netherlands constituency"
"Dutch PM","Netherlands constituency"
"Süddeutsche Zeitung","Italy constituency"
"EU Commissioner for Environment","Europe constituency"
"French Government","French and Spanish victims constituency"
"German Government","German people constituency"
"German economist","Italian / German banks constituency"
"Chancellor of the Exchequer","NHS constituency"
"Platforma Obywatelska","Poland constituency"
"EU Commissioner for Agriculture","Poles constituency"
"Vaticano","Ordinary people constituency"
"Presidente della repubblica","Europe constituency"
"Kozminski University","Poles constituency"
"Baran Adam","Europe constituency"
"Bundesminister des Auswärtigen","Europe constituency"
"German Government","Germany constituency"
"EU Member States","Europeans constituency"
"Forza Italia","Italy constituency"
"Ministero delle Finanze","Italian people constituency"
"Presidente del Consiglio","Italy constituency"
"French Government","The EU constituency"
"Presidente del Consiglio","Italy constituency"
"Presidente della Regione Toscana","Tuscan workers / economy constituency"
"La Nazione","People constituency"
"President of the European Parliament","Citizens constituency"
"TIP S.p.A.","Italian people constituency"
"President of the EU Commission","European Union constituency"
"Christen-Democratisch Appel","Brabant farmers constituency"
"NRC Handelsblad","Southern Europe constituency"
"President of the EU Commission","Europe constituency"
"Germany","Italy constituency"
"Cuban doctors","Italy constituency"
"German hospitals","Italian patients constituency"
"Austrian hospitals","Italian patients constituency"
"La Repubblica","Europe constituency"
"Presidente del Consiglio","European citizens constituency"
"Lega Nord","Italy constituency"
"Lega Nord","Italy constituency"
"Monti Mario","Italy constituency"
"Dutch PM","Netherlands constituency"
"Dutch PM","Europe constituency"
"President of the EU Commission","Europe constituency"
"German Government","Germany constituency"
"Several EU Member States","Europe constituency"
"EU Council","Europe constituency"
"President of the EU Commission","European people constituency"
"EU heads of state and government","EU Member States constituency"
"President of the EU Commission","Europe constituency"
"Deutsches Institut für Wirtschaftsforschung","German companies constituency"
"VDMA","German companies constituency"
"Deutscher Städte- und Gemeindebund","Germany constituency"
"Verband der Automobilindustrie","German industry constituency"
"Germany","Bosnia constituency"
"US Ambassador in Germany","Serbia constituency"
"Land schafft Verbindung","German population constituency"
"President of the EU Commission","Europe constituency"
"President of the EU Commission","Europeans constituency"
"Polityka","Poland constituency"
"Polityka","Poles constituency"
"Do Rzeczy","Polish people constituency"
"Harari Yuval","Citizens constituency"
"Gazeta Polska","Gazeta Polska journalists constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Standard & Poor","Poland constituency"
"FitchRatings","Polish economy constituency"
