"Polish PM","Poland constituency"
"French Government","France constituency"
"Platforma Obywatelska","European Parliament constituency"
"European Research Group","European Research Group constituency"
"La Nazione","Europe constituency"
"Partito Democratico","Europe constituency"
"European Parliament","Agri-food sector constituency"
"Lega Nord","Italians constituency"
"Partito Democratico","Eu farmers constituency"
"Italian Government","European workers constituency"
"Italian Government","Workers constituency"
"Export USA","Italian companies constituency"
"Export USA","EU industry constituency"
"Gilet jaunes","French people constituency"
"Gilet jaunes","Gilet Jaunes constituency"
"University of Verona","Eu farmers constituency"
"Partito Democratico","Europe constituency"
"Partito Democratico","The citizens constituency"
"President of the European Parliament","Europeans constituency"
"European Parliament","Whistleblowers constituency"
"Le Madamin","Europe constituency"
"Associazione Family Day","Families constituency"
"Presidente dei Fratelli d'Italia","Fratelli d'Italia constituency"
"Fondazione Il Faro","Europe constituency"
"Fondazione Il Faro","Italian citizens constituency"
"Forza Italia","Europeans constituency"
"Italian Government","Italian entrepreneurs constituency"
"Movimento 5 Stelle","Italian citizens constituency"
"French vox pop","French country constituency"
"French vox pop","French public constituency"
"European Commission","Humans constituency"
"Bundnis 90 - Die Grunen","The EU constituency"
"European Commission","The EU constituency"
"Süddeutsche Zeitung","Europe constituency"
"Klimenko Andrei","Ukraine constituency"
"Permanent Court of Arbitration","Ukrainans constituency"
"Illarionov Andrei","Crimea constituency"
"University of Cologne","Internet users constituency"
"UK Government","United Kingdom constituency"
"Auswärtiges Amt","Ordinary workers constituency"
"European Union","Polish infrastructure constituency"
"European Commission","Europe constituency"
"European Commission","European citizens constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Transport sector constituency"
"UK Government","British people constituency"
"UK Labour Party","United Kingdom constituency"
"UK Conservative Party","United Kingdom constituency"
"UK Civil Service","United Kingdom constituency"
"Brexit negotiator","The EU constituency"
"Gazeta Wyborcza","Polish people constituency"
"Partito Democratico","Europe constituency"
"Corriere della Sera Foundation","Europe constituency"
"Partito Democratico","Europe constituency"
"Lega Nord","Italy constituency"
"Monti Mario","Italian people constituency"
"Partito Democratico","Europe constituency"
"Forza Italia","Italy constituency"
"European Commission","Old Continent constituency"
"University student","University of Milan constituency"
"Maltese Government","Malta constituency"
"Maltese Government","Commissioner for Refugees constituency"
"Lawyer","African migrants constituency"
"Archbishop","African migrants constituency"
"Movimento 5 Stelle","Movimento 5 Stelle constituency"
"Movimento 5 Stelle","NA constituency"
"Presidente del Consiglio","Italian Government constituency"
"Kings College London University","The EU constituency"
"NRC Handelsblad","EU labour migrants constituency"
"Stevens Barry","Netherlands constituency"
"Süddeutsche Zeitung","Europe constituency"
"Harvard University","CEECs constituency"
"NATO Secretary General","The Black Sea constituency"
"Pulse of Europe","Europe constituency"
"Hungarian Government","Fidesz constituency"
"Hungarian Government","Hungary constituency"
"European Commission","Europe constituency"
"President of the EU Commission","Europe constituency"
"Bundesminister des Auswärtigen","Humanitarian aid workers constituency"
"French Government","Germany constituency"
"Sluha Narodu","Ukrainians constituency"
"Ukrainian Government","Ukrainian voters constituency"
"Okologisch-Demokratische Partei","German workers constituency"
"Okologisch-Demokratische Partei","The world / common good (general) constituency"
"Okologisch-Demokratische Partei","Humans constituency"
"Die Linke","Europeans constituency"
"President of Turkey","Religious voters constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Poles constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Poland constituency"
"Gazeta Wyborcza","Disabled children constituency"
"Gazeta Wyborcza","Disabled children constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Russian Government","France constituency"
"Polish PM","Europeans constituency"
"Byrt Andrzej","Europe constituency"
"Lega Nord","Italians constituency"
"Partito Democratico","Cascina constituency"
"Mayor","Norcia constituency"
"Forza Italia","Norcia constituency"
"French Government","French people constituency"
"Halter Marek","Europe constituency"
"Forza Italia","Italy constituency"
"Forza Italia","Forza Italia constituency"
"Partito Democratico","Europeans constituency"
"University of Bologna","Europe constituency"
"Boeri Tito","European public constituency"
"Italian Government","Italy constituency"
"Italian Government","Citizens constituency"
"Partito Democratico","Lombards constituency"
"Environmental activist","Our house constituency"
"Italian Government","Italians constituency"
"Italian Government","Italians constituency"
"Dutch PM","France constituency"
"NRC Handelsblad","Europe constituency"
"European Parliament","Whistleblowers constituency"
"VisNed","Dutch fisherman constituency"
"InnoEnergy","European network constituency"
"InnoEnergy","Europe constituency"
"Clingendael Institute","Netherlands constituency"
"French Government","French nation constituency"
"VNO-NCW","Employers constituency"
"Federatie Nederlandse Vakbeweging","Dutch people constituency"
"De Sociaal-Economische Raad","Dutch people constituency"
"Dutch vox pop","Europe constituency"
"De Sociaal-Economische Raad","Dutch workers constituency"
"Fisherman","Dutch fisherman constituency"
"VisNed","Fishermen constituency"
"Partidul Conservator","Romanian inhabitants constituency"
"President of the EU Commission","The European community constituency"
"Bundestagspräsident","Eastern Europeans constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Center for European Policy Analysis","Europeans constituency"
"Platforma Obywatelska","Malopolska constituency"
"Markiel Krzysztof","Malopolska constituency"
"Polish vox pop","European constituency"
"Fakt","Poland constituency"
"Polish vox pop","Poland constituency"
"Razem","Polish workers constituency"
"Polish PM","CEECs constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Polish Embassy in the UK","Poles constituency"
"Dutch Government ministers","The EU constituency"
"Government of the Netherlands","Netherlands constituency"
"Hanseatic League","European countries constituency"
"Ministerie van Financiën","Dutch wishes constituency"
"Ministerie van Financiën","Netherlands constituency"
"UK Conservative Party","Voters constituency"
"UK Conservative Party","Voters constituency"
"UK vox pop","Society constituency"
"UK Labour Party","People constituency"
"Bijkerk Rein","Netherlands constituency"
"President of the EU Commission","European Union constituency"
"Lega Nord","EU nationalist parties constituency"
"Brexit negotiator","The EU constituency"
"Group of MEP's","Women constituency"
"DGB","People constituency"
"Mayor of Freising","Europe constituency"
"DGB","European citizens constituency"
"Alternative fur Deutschland","Europe constituency"
"Alternative fur Deutschland","The Germans constituency"
"German Government","Burkina Faso constituency"
"Austrian PM","Austrian country constituency"
"Freiheitliche Partei Osterreichs","Politicians constituency"
"Casa di Betania","Europe constituency"
"Italian Government","European continent constituency"
"Italian Government","Europe constituency"
"Italian Government","Lega Nord constituency"
"Italian Government","European peoples constituency"
"Popolari per l'Italia","Europe constituency"
"Popolari per l'Italia","Europe constituency"
"Mayor of Rosignano","Rosignano territory constituency"
"Partito Democratico","Florence constituency"
"Partito Democratico","Florentine people constituency"
"Partito Democratico","Liguria constituency"
"La Nazione","Italian country constituency"
"Italian Government","Europe constituency"
"Corte Suprema di Cassazione","Milan constituency"
"Mayor of Milan","Milan constituency"
"Movimento 5 Stelle","Italian families constituency"
"Italian Government","Citizens constituency"
"Piu Europa","Europe constituency"
"Piu Europa","young people (general) constituency"
"Confcommercio","Italy constituency"
"European People's Party","European People's Party constituency"
"European People's Party","European People's Party constituency"
"Hungarian Government","European People's Party constituency"
"European People's Party","Christlich Demokratische Union constituency"
"Presidente della repubblica","Italy constituency"
"French Government","Europe constituency"
"Italian vox pop","Europe constituency"
"Movimento 5 Stelle","People constituency"
"Movimento 5 Stelle","Italy constituency"
"European Court of Justice","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Polish PM","Polish constituency"
"The City is Ours","Warsaw constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Avaaz","Europe constituency"
"US President","US auto industry constituency"
"Presidente dei Fratelli d'Italia","Peoples constituency"
