"Polish PM","Poland constituency"
"French Government","France constituency"
"European Research Group","European Research Group constituency"
"Lega Nord","Italians constituency"
"Presidente dei Fratelli d'Italia","Fratelli d'Italia constituency"
"Italian Government","Italian entrepreneurs constituency"
"Movimento 5 Stelle","Italian citizens constituency"
"UK Government","United Kingdom constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Transport sector constituency"
"UK Government","British people constituency"
"UK Labour Party","United Kingdom constituency"
"UK Conservative Party","United Kingdom constituency"
"Lega Nord","Italy constituency"
"Monti Mario","Italian people constituency"
"Movimento 5 Stelle","Movimento 5 Stelle constituency"
"Presidente del Consiglio","Italian Government constituency"
"Hungarian Government","Fidesz constituency"
"Hungarian Government","Hungary constituency"
"Ukrainian Government","Ukrainian voters constituency"
"Okologisch-Demokratische Partei","German workers constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Poles constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Polish people constituency"
"Platforma Obywatelska","Poland constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Lega Nord","Italians constituency"
"Partito Democratico","Cascina constituency"
"Forza Italia","Norcia constituency"
"French Government","French people constituency"
"Forza Italia","Italy constituency"
"Forza Italia","Forza Italia constituency"
"Italian Government","Italy constituency"
"Partito Democratico","Lombards constituency"
"Italian Government","Italians constituency"
"Italian Government","Italians constituency"
"French Government","French nation constituency"
"Federatie Nederlandse Vakbeweging","Dutch people constituency"
"Partidul Conservator","Romanian inhabitants constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Platforma Obywatelska","Malopolska constituency"
"Markiel Krzysztof","Malopolska constituency"
"Razem","Polish workers constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Government of the Netherlands","Netherlands constituency"
"Ministerie van Financiën","Dutch wishes constituency"
"Ministerie van Financiën","Netherlands constituency"
"Alternative fur Deutschland","The Germans constituency"
"Austrian PM","Austrian country constituency"
"Italian Government","Lega Nord constituency"
"Mayor of Rosignano","Rosignano territory constituency"
"Partito Democratico","Florence constituency"
"Partito Democratico","Florentine people constituency"
"Partito Democratico","Liguria constituency"
"Mayor of Milan","Milan constituency"
"Movimento 5 Stelle","Italian families constituency"
"Presidente della repubblica","Italy constituency"
"Movimento 5 Stelle","Italy constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Polish PM","Polish constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Presidente dei Fratelli d'Italia","Rome constituency"
"Presidente dei Fratelli d'Italia","Italy constituency"
"Ministero Finanza Italia","Italy constituency"
"Ministero Finanza Italia","Italy constituency"
"Forza Italia","Italian voters constituency"
"Forza Italia","Italian country constituency"
"Partito Democratico","Italian country constituency"
"Fratelli d'Italia","Italian soldiers constituency"
"Ministero delle Finanze","Italy constituency"
"Ministero Finanza Italia","Italy constituency"
"Luxembourg Government","Luxembourg constituency"
"Ministère des Affaires étrangères LU","Luxembourg constituency"
"UK Conservative Party","Britain constituency"
"UK Conservative Party","British country constituency"
"Italian Government","Italy constituency"
"Italian Government","Italy constituency"
"Partito Democratico","Italian people constituency"
"UK Government","Great Britain constituency"
"Czech PM","Czech Republic constituency"
"Presidente del Consiglio","Italians constituency"
"Presidente del Consiglio","Italy constituency"
"Italian Government","Italians constituency"
"Italian Government","Italy constituency"
"Sozialdemokratische Partei Deutschlands","Germany constituency"
"Italian Government","Italians constituency"
"Italian Government","Italians constituency"
"Italian Government","Italy constituency"
"Italian Government","Italy constituency"
"Italian Government","Italian ports / territory constituency"
"Polish PM","Poland constituency"
"Polish PM","Poland constituency"
"Prawo i Sprawiedliwosc","Polish interests constituency"
"Ukrainian President","Ukrainians constituency"
"Ukrainian Government","Ukraine constituency"
"Prezes Rady Ministrów","Szydlo Beata constituency"
"Prawo i Sprawiedliwosc","Szydlo Beata constituency"
"French Government","France constituency"
"Ministero dell'agricoltura","Italy constituency"
"Movimento 5 Stelle","Italian companies constituency"
"President of Moldova","Moldovians constituency"
"British PM","British farmers constituency"
"First Minister for Wales","The Union constituency"
"Bundesministerium des Innern","Germany constituency"
"Forza Italia","Forza Italia constituency"
"Mayor of Bergamo","Italy constituency"
"British PM","British people constituency"
"Platforma Obywatelska","Poland constituency"
"Mayor of Ponsacco","Italy constituency"
"Movimento 5 Stelle","Italy constituency"
"Mayor of Brescia","City of Brescia constituency"
"Lega Nord","Italian people constituency"
"Presidente del Consiglio","Italian country constituency"
"Partito Democratico","Italy constituency"
"German Government","Coal regions constituency"
"Lega Nord","Italy constituency"
"Presidente del Consiglio","Italian country constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Polish interests constituency"
"Forza Italia","Italians constituency"
"Ministerie van Buitenlandse Zaken","Netherlands constituency"
"GroenLinks","Netherlands constituency"
"Austrian PM","Austria constituency"
"CDU official","Germany constituency"
"President of Turkey","Turkey constituency"
"President of Turkey","Turkey constituency"
"Ministero Esteri IT (M5S)","Italy constituency"
"Partito Democratico","Italy constituency"
"Prawo i Sprawiedliwosc","Poles constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Forza Italia","Italy constituency"
"Prawo i Sprawiedliwosc","Polish people constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Tokarczuk Olga","Poland constituency"
"Bundesminister des Auswärtigen","German government constituency"
"Turkey Ministry of Foreign Affairs","Turkey constituency"
"Regione Lombardia","Lombardian territory constituency"
"President of Turkey","Turkey constituency"
"Movimento 5 Stelle","Roma capitale constituency"
"Lega Nord","Italy constituency"
"Spanish Government","Spain constituency"
"Partij van de Arbeid","Netherlands constituency"
"Christen-Democratisch Appel","Netherlands constituency"
"Landwirtschaftsministerium","German market constituency"
"Israel Ministry of Transport","Israel constituency"
"Ministero Esteri IT","Italy constituency"
"Movimento 5 Stelle","Movimento 5 Stelle constituency"
"Bové José","French farmers constituency"
"German Government","Germany constituency"
"Prawo i Sprawiedliwosc","Polish citizens constituency"
"Polish Government","Poland constituency"
"Turkish Foreign Ministry","Turkey constituency"
"British PM","United Kingdom constituency"
"Presidente del Consiglio","Italy constituency"
"Dutch PM","Netherlands constituency"
"Ministerie van Volksgezondheid","Dutch patients constituency"
"Czech PM","Czech Republic constituency"
"Polish PM","Poland constituency"
"Christlich Soziale Union","German savers / retirees constituency"
"La France Insoumise","workers (general) constituency"
"Rassemblement National","French people constituency"
"President of Turkey","Turkey constituency"
"Dansk Folkeparti","Denmark constituency"
"Socialdemokraterne","Denmark constituency"
"Dansk Folkeparti","Danes constituency"
"Socialdemokraterne","Denmark constituency"
"Deputy Northern Irish PM","Northern Ireland constituency"
"Platforma Obywatelska","Poles constituency"
"Ministero del lavoro","Italian women constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Prezydent Rzeczypospolitej","Poland constituency"
"Brexit Party","United Kingdom constituency"
"UK Government spokesperson","United Kingdom constituency"
"Christlich Soziale Union","German savers constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Platforma Obywatelska","Judges and Poles constituency"
"Wiosna","Poland constituency"
"minister sprawiedliwosci","The Poles constituency"
"Prawo i Sprawiedliwosc","Polish citizens constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Prawo i Sprawiedliwosc","Poland constituency"
"Forza Italia","Italians constituency"
"Bundestagspräsident","German chancellor constituency"
"Ministerie van Buitenlandse Zaken","Netherlands constituency"
"UK Brexit Minister","United Kingdom constituency"
"Volkspartij voor Vrijheid en Democratie","Netherlands constituency"
