Id,Label,timeset,mode,act_type,nat,colour,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,triangles,eigencentrality
Polish PM,Polish PM,,1,government/executive,POLAND,"#FFE428",0,3,19,5,0.352015,0.395558,2692.843947,0.00761,0.076562,21,0.001815,0,0,0.091874
French Government,French Government,,1,government/executive,FRANCE,"#6A886D",0,4,14,6,0.333135,0.378473,3351.329349,0.007515,0.075609,23,0.002301,0,0,0.085287
Platforma Obywatelska,Platforma Obywatelska,,1,political parties,POLAND,"#FFE428",0,2,25,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
European Research Group,European Research Group,,1,political parties,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
La Nazione,La Nazione,,1,media and journalists,ITALY,"#B85D6F",0,2,5,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Partito Democratico,Partito Democratico,,1,political parties,ITALY,"#B85D6F",0,2,26,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Lega Nord,Lega Nord,,1,political parties,ITALY,"#B85D6F",0,2,15,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Italian Government,Italian Government,,1,government/executive,ITALY,"#B85D6F",0,3,23,6,0.348939,0.394514,2313.333216,0.007803,0.078507,25,0.001786,0,0,0.093128
Export USA,Export USA,,1,employers organisations and firms,UNITED STATES,"#EF7DB1",0,2,2,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Gilet jaunes,Gilet jaunes,,1,activists and protestors,FRANCE,"#6A886D",0,1,2,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
University of Verona,University of Verona,,1,educational professionals and organisations,ITALY,"#B85D6F",0,2,3,6,0.33756,0.381694,1111.820177,0.007318,0.073625,23,0.001297,0,0,0.084027
President of the European Parliament,President of the European Parliament,,1,legislative,EUROPEAN UNION,"#5C9A5C",0,2,6,6,0.316535,0.357305,1073.860991,0.006565,0.066053,23,0.001282,0,0,0.068823
Le Madamin,Le Madamin,,1,civil society organisations and groups,ITALY,"#B85D6F",0,1,1,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Presidente dei Fratelli d'Italia,Presidente dei Fratelli d'Italia,,1,political parties,ITALY,"#B85D6F",0,1,3,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
Fondazione Il Faro,Fondazione Il Faro,,1,civil society organisations and groups,ITALY,"#B85D6F",0,2,2,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Forza Italia,Forza Italia,,1,politicians,ITALY,"#B85D6F",0,2,14,6,0.33756,0.381694,1111.820177,0.007318,0.073625,25,0.001297,0,0,0.084027
Movimento 5 Stelle,Movimento 5 Stelle,,1,political parties,ITALY,"#B85D6F",0,1,10,6,0.245822,0.274866,0,0.000931,0.009362,25,0.00078,0,0,0.019656
French vox pop,French vox pop,,1,the general public,FRANCE,"#6A886D",0,1,2,8,0.205515,0.218952,0,0.000096,0.000968,22,0.000798,0,0,0.002747
European Commission,European Commission,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,5,27,4,0.393662,0.434407,7290.383401,0.008922,0.089757,23,0.002868,0,0,0.117887
Bundnis 90 - Die Grunen,Bundnis 90 - Die Grunen,,1,political parties,GERMANY,"#717F75",0,4,9,6,0.330378,0.375343,2076.339421,0.007482,0.07527,23,0.002302,0,0,0.084068
Süddeutsche Zeitung,Süddeutsche Zeitung,,1,media and journalists,GERMANY,"#717F75",0,6,23,4,0.399857,0.440072,12421.668482,0.009119,0.091748,23,0.003402,0,0,0.121235
Klimenko Andrei,Klimenko Andrei,,1,the general public,UKRAINE,"#E07595",0,1,1,8,0.194097,0.205863,0,0.00003,0.000298,26,0.000883,0,0,0.001922
Permanent Court of Arbitration,Permanent Court of Arbitration,,1,judiciary,NA,"#FFA910",0,1,1,8,0.194097,0.205863,0,0.00003,0.000298,26,0.000883,0,0,0.001922
Illarionov Andrei,Illarionov Andrei,,1,economists and financial experts,RUSSIAN FEDERATION,"#E8D430",1,1,1,2,0.666667,0.75,0,0,0,27,0.001219,0,0,0.000883
UK Government,UK Government,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,4,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
European Union,European Union,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,1,6,0.260242,0.288223,0,0.001045,0.010509,21,0.00077,0,0,0.023051
Prawo i Sprawiedliwosc,Prawo i Sprawiedliwosc,,1,political parties,POLAND,"#FFE428",0,2,24,5,0.345916,0.388551,1195.941581,0.007432,0.074773,21,0.001287,0,0,0.087421
UK Labour Party,UK Labour Party,,1,legislative,UNITED KINGDOM,"#E879A3",0,2,3,6,0.32016,0.361777,3394.086484,0.006492,0.065314,24,0.001347,0,0,0.069406
UK Conservative Party,UK Conservative Party,,1,political parties,UNITED KINGDOM,"#E879A3",0,1,4,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
UK Civil Service,UK Civil Service,,1,government/executive,UNITED KINGDOM,"#E879A3",0,1,1,7,0.217679,0.234573,0,0.000104,0.00105,24,0.00083,0,0,0.005036
Brexit negotiator,Brexit negotiator,,1,government/executive,EUROPEAN UNION,"#5C9A5C",0,1,3,6,0.310901,0.349404,0,0.006388,0.064264,23,0.000754,0,0,0.06437
Gazeta Wyborcza,Gazeta Wyborcza,,1,media and journalists,POLAND,"#FFE428",0,6,21,5,0.371182,0.41613,14501.645468,0.00789,0.079377,21,0.00356,0,0,0.101756
