Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
European Commission,European Commission,,1,government/executive,EUROPEAN UNION,"#5C9A5C",3,10,4,0.377581,0.424479,351.205785,0.021162,0.123111,20,0.00605,0,0,0,0.135399
Bundnis 90 - Die Grunen,Bundnis 90 - Die Grunen,,1,political parties,GERMANY,"#717F75",4,8,4,0.425249,0.464844,507.161064,0.026287,0.15292,20,0.007587,0,0,0,0.178036
Süddeutsche Zeitung,Süddeutsche Zeitung,,1,media and journalists,GERMANY,"#717F75",6,22,4,0.462094,0.494792,2073.936948,0.026333,0.153193,20,0.011404,0,0,0,0.186374
Klimenko Andrei,Klimenko Andrei,,1,the general public,UKRAINE,"#E07595",1,1,2,0.555556,0.6,0,0,0,21,0.003115,1,0,0,0.003821
Permanent Court of Arbitration,Permanent Court of Arbitration,,1,Judiciary,NA,"#FFA910",1,1,2,0.555556,0.6,0,0,0,21,0.003115,1,0,0,0.003821
Illarionov Andrei,Illarionov Andrei,,1,economists and financial experts,RUSSIAN FEDERATION,"#E8D430",1,1,1,1,1,0,0,0,1,0.004926,2,0,0,0.001641
Harvard University,Harvard University,,1,educational professionals and organisations,UNITED STATES,"#EF7DB1",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
NATO Secretary General,NATO Secretary General,,1,military,NA,"#FFA910",1,1,6,0.249513,0.271224,0,0.00198,0.011519,9,0.002298,0,0,0,0.017479
Pulse of Europe,Pulse of Europe,,1,other civil society organisations and groups,EUROPEAN UNION,"#5C9A5C",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Hungarian Government,Hungarian Government,,1,government/executive,HUNGARY,"#7F6D85",1,3,2,0.6,0.666667,0,0,0,2,0.003416,3,0,0,0.002692
President of the EU Commission,President of the EU Commission,,1,government/executive,EUROPEAN UNION,"#5C9A5C",1,9,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Bundesminister des Auswärtigen,Bundesminister des Auswärtigen,,1,government/executive,GERMANY,"#717F75",3,6,4,0.419672,0.457682,255.161064,0.025926,0.150821,20,0.005605,0,0,0,0.174052
French Government,French Government,,1,government/executive,FRANCE,"#6A886D",2,3,4,0.401254,0.440755,113.636178,0.023946,0.139302,20,0.004047,0,0,0,0.156573
Sluha Narodu,Sluha Narodu,,1,political parties,UKRAINE,"#E07595",1,1,2,0.555556,0.6,0,0,0,21,0.003115,1,0,0,0.003821
Ukrainian Government,Ukrainian Government,,1,government/executive,UKRAINE,"#E07595",1,1,2,0.555556,0.6,0,0,0,21,0.003115,1,0,0,0.003821
Okologisch-Demokratische Partei,Okologisch-Demokratische Partei,,1,political parties,GERMANY,"#717F75",2,2,6,0.298368,0.336849,42.319102,0.007034,0.040919,9,0.003902,0,0,0,0.059629
Die Linke,Die Linke,,1,political parties,GERMANY,"#717F75",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Partidul Conservator,Partidul Conservator,,1,political parties,ROMANIA,"#F9F332",1,1,1,1,1,0,0,0,3,0.004926,4,0,0,0.001641
Bundestagspräsident,Bundestagspräsident,,1,legislative,GERMANY,"#717F75",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Lega Nord,Lega Nord,,1,political parties,ITALY,"#B85D6F",2,2,4,0.366762,0.411458,103.539683,0.019866,0.11557,6,0.004095,0,0,0,0.124026
Brexit negotiator,Brexit negotiator,,1,government/executive,EUROPEAN UNION,"#5C9A5C",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Mayor of Freising,Mayor of Freising,,1,government/executive,GERMANY,"#717F75",1,2,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
DGB,DGB,,1,unions and employees,GERMANY,"#717F75",1,2,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Alternative fur Deutschland,Alternative fur Deutschland,,1,political parties,GERMANY,"#717F75",2,2,4,0.401254,0.440755,113.636178,0.023946,0.139302,11,0.004047,0,0,0,0.156573
German Government,German Government,,1,government/executive,GERMANY,"#717F75",5,18,4,0.428094,0.470052,632.161064,0.026653,0.155049,20,0.009621,0,0,0,0.181693
Austrian PM,Austrian PM,,1,government/executive,AUSTRIA,"#944863",1,2,1,1,1,0,0,0,4,0.004926,5,0,0,0.001641
Augsburg University,Augsburg University,,1,educational professionals and organisations,GERMANY,"#717F75",1,2,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Christlich Soziale Union,Christlich Soziale Union,,1,political parties,GERMANY,"#717F75",2,5,4,0.401254,0.440755,113.636178,0.023946,0.139302,11,0.004047,0,0,0,0.156573
European Conservatives and Reformist Group,European Conservatives and Reformist Group,,1,political parties,EUROPEAN UNION,"#5C9A5C",1,1,2,0.6,0.666667,0,0,0,7,0.003416,6,0,0,0.002692
Volkshochschule Eching,Volkshochschule Eching,,1,educational professionals and organisations,GERMANY,"#717F75",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Academic,Academic,,1,educational professionals and organisations,NA,"#FFA910",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Mayor of Eching,Mayor of Eching,,1,government/executive,GERMANY,"#717F75",1,1,4,0.356546,0.398438,0,0.018892,0.109902,20,0.002442,0,0,0,0.114423
Luxembourg Government,Luxembourg Government,,1,government/executive,LUXEMBOURG,"#F17815",1,1,2,0.571429,0.625,0,0,0,5,0.003228,7,0,0,0.003246
