Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
La Nazione,,,1,La Nazione,ITALY,"#B85D6F",2,5,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Partito Democratico,,,1,Partito Democratico,ITALY,"#B85D6F",2,26,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Lega Nord,,,1,Lega Nord,ITALY,"#B85D6F",1,11,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Italian Government,,,1,Italian Government,ITALY,"#B85D6F",2,19,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Export USA,,,1,Export USA,UNITED STATES,"#EF7DB1",2,2,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
Gilet jaunes,,,1,Gilet jaunes,FRANCE,"#6A886D",1,2,8,0.203733,0.220811,0,0.000104,0.000749,0,0.003692,0,0,0,0.003381
University of Verona,,,1,University of Verona,ITALY,"#B85D6F",2,3,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
President of the European Parliament,,,1,President of the European Parliament,EUROPEAN UNION,"#5C9A5C",1,5,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Le Madamin,,,1,Le Madamin,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Presidente dei Fratelli d'Italia,,,1,Presidente dei Fratelli d'Italia,ITALY,"#B85D6F",1,3,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Fondazione Il Faro,,,1,Fondazione Il Faro,ITALY,"#B85D6F",2,2,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
Forza Italia,,,1,Forza Italia,ITALY,"#B85D6F",2,14,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Movimento 5 Stelle,,,1,Movimento 5 Stelle,ITALY,"#B85D6F",1,10,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Corriere della Sera Foundation,,,1,Corriere della Sera Foundation,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Monti Mario,,,1,Monti Mario,ITALY,"#B85D6F",1,2,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
European Commission,,,1,European Commission,EUROPEAN UNION,"#5C9A5C",3,7,4,0.486989,0.501272,1035.6,0.021259,0.152853,3,0.007926,0,0,0,0.196269
University student,,,1,University student,NA,"#FFA910",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Maltese Government,,,1,Maltese Government,MALTA,"#FF8502",1,2,1,1,1,0,0,0,1,0.006452,1,0,0,0.001536
Lawyer,,,1,Lawyer,NA,"#FFA910",1,1,6,0.259406,0.273155,0,0.0004,0.002873,5,0.003418,0,0,0,0.008927
Archbishop,,,1,Archbishop,NA,"#FFA910",1,1,6,0.259406,0.273155,0,0.0004,0.002873,5,0.003418,0,0,0,0.008927
Presidente del Consiglio,,,1,Presidente del Consiglio,ITALY,"#B85D6F",2,14,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Mayor,,,1,Mayor,NA,"#FFA910",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
French Government,,,1,French Government,FRANCE,"#6A886D",3,6,6,0.338501,0.392112,615,0.008336,0.059939,3,0.008374,0,0,0,0.090975
Halter Marek,,,1,Halter Marek,FRANCE,"#6A886D",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
University of Bologna,,,1,University of Bologna,ITALY,"#B85D6F",2,3,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
Boeri Tito,,,1,Boeri Tito,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Environmental activist,,,1,Environmental activist,NA,"#FFA910",1,1,6,0.259406,0.273155,0,0.0004,0.002873,5,0.003418,0,0,0,0.008927
Casa di Betania,,,1,Casa di Betania,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
