Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
French vox pop,French vox pop,,1,the general public,FRANCE,"#6A886D",1,2,8,0.224863,0.243709,0,0.000797,0.004875,0,0.003106,0,0,0,0.008504
Kings College London University,Kings College London University,,1,educational professionals and organisations,UNITED KINGDOM,"#E879A3",1,1,6,0.328,0.37561,0,0.019602,0.119906,14,0.002984,0,0,0,0.124933
NRC Handelsblad,NRC Handelsblad,,1,media and journalists,NETHERLANDS,"#FFB415",2,15,6,0.38558,0.435908,231.490909,0.025573,0.156429,14,0.005064,0,0,0,0.185308
Stevens Barry,Stevens Barry,,1,media and journalists,NETHERLANDS,"#FFB415",1,1,6,0.271523,0.315854,0,0.005971,0.036523,19,0.002963,0,0,0,0.060375
Dutch PM,Dutch PM,,1,government/executive,NETHERLANDS,"#FFB415",3,5,6,0.395498,0.447425,538.848485,0.02637,0.161304,19,0.007288,0,0,0,0.193812
VisNed,VisNed,,1,farmers and agricultural organisations,NETHERLANDS,"#FFB415",1,1,6,0.271523,0.315854,0,0.005971,0.036523,19,0.002963,0,0,0,0.060375
InnoEnergy,InnoEnergy,,1,employers organisations and firms,NETHERLANDS,"#FFB415",1,2,6,0.328,0.37561,0,0.019602,0.119906,14,0.002984,0,0,0,0.124933
Clingendael Institute,Clingendael Institute,,1,other scientific and research professionals and institutions,NETHERLANDS,"#FFB415",1,1,6,0.271523,0.315854,0,0.005971,0.036523,19,0.002963,0,0,0,0.060375
French Government,French Government,,1,government/executive,FRANCE,"#6A886D",1,1,8,0.224863,0.243709,0,0.000797,0.004875,0,0.003106,0,0,0,0.008504
Federatie Nederlandse Vakbeweging,Federatie Nederlandse Vakbeweging,,1,unions and employees,NETHERLANDS,"#FFB415",1,1,6,0.271523,0.315854,0,0.005971,0.036523,19,0.002963,0,0,0,0.060375
