Id,Label,timeset,act_type,act_nat,colour,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
Mercator Institute for China Studies,Mercator Institute for China Studies,,other scientific and research professionals and institutions,GERMANY,"#717F75",0,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000915,1,0,0
European External Action Service,European External Action Service,,government/executive,EUROPEAN UNION,"#5C9A5C",1,2,8,10,2,8,10,9,0.210435,0.288154,366.2,0.002245,0.140527,1,0.003236,88,0.013889,0.018606
European Commission,European Commission,,government/executive,EUROPEAN UNION,"#5C9A5C",1,27,14,41,31,21,52,7,0.337423,0.495325,4380.916667,0.410524,0.113197,1,0.020318,46,0.017949,1
Bundnis 90 - Die Grunen,Bundnis 90 - Die Grunen,,political parties,GERMANY,"#717F75",1,1,17,18,1,27,28,8,0.339332,0.443768,130,0,0.292237,5,0.001332,101,0.036765,0.007715
Electronic Frontier Foundation,Electronic Frontier Foundation,,other scientific and research professionals and institutions,UNITED STATES,"#EF7DB1",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,102,0,0
Süddeutsche Zeitung,Süddeutsche Zeitung,,media and journalists,GERMANY,"#717F75",1,0,29,29,0,50,50,8,0.452769,0.550128,0,0,0.506855,2,0.000915,121,0.023399,0
Hungarian Government,Hungarian Government,,government/executive,HUNGARY,"#7F6D85",1,10,5,15,10,6,16,8,0.295739,0.350575,1377.55,0.052813,0.089729,3,0.007668,86,0.009524,0.095354
Klimenko Andrei,Klimenko Andrei,,the general public,UKRAINE,"#E07595",1,0,1,1,0,1,1,1,1,1,0,0,0.001587,22,0.000915,122,0,0
Sluha Narodu,Sluha Narodu,,political parties,UKRAINE,"#E07595",1,1,3,4,2,4,6,3,0.583333,0.690476,8,0,0.001646,22,0.001516,126,0,0.010891
Permanent Court of Arbitration,Permanent Court of Arbitration,,Judiciary,NA,"#FFA910",1,0,1,1,0,1,1,1,1,1,0,0,0.001587,22,0.000915,127,0,0
Illarionov Andrei,Illarionov Andrei,,economists and financial experts,RUSSIAN FEDERATION,"#E8D430",1,0,1,1,0,1,1,1,1,1,0,0,0.001587,22,0.000915,128,0,0
University of Cologne,University of Cologne,,educational professionals and organisations,GERMANY,"#717F75",1,0,1,1,0,1,1,9,0.215548,0.262399,0,0,0.009047,22,0.000915,129,0,0
UK Government,UK Government,,government/executive,UNITED KINGDOM,"#E879A3",1,10,4,14,14,5,19,10,0.201709,0.241004,1119.5,0.076902,0.076142,4,0.008459,86,0.025641,0.193987
Harvard University,Harvard University,,educational professionals and organisations,UNITED STATES,"#EF7DB1",1,0,2,2,0,2,2,9,0.30829,0.350383,0,0,0.049502,3,0.000915,130,0,0
Burns Nicholas,Burns Nicholas,,former states(wo)men,UNITED STATES,"#EF7DB1",1,0,1,1,0,2,2,1,1,1,0,0,0.006574,18,0.000915,131,0,0
President of the EU Commission,President of the EU Commission,,government/executive,EUROPEAN UNION,"#5C9A5C",1,7,17,24,7,23,30,8,0.282297,0.415476,2238.05,0.120098,0.252984,4,0.005787,86,0.030797,0.174411
Bundesminister des Auswärtigen,Bundesminister des Auswärtigen,,government/executive,GERMANY,"#717F75",1,0,9,9,0,14,14,9,0.298165,0.370809,0,0,0.123294,17,0.000915,136,0.041667,0
German Government,German Government,,government/executive,GERMANY,"#717F75",1,23,25,48,40,32,72,8,0.375796,0.493795,4221.333333,0.316675,0.270311,5,0.011166,86,0.039394,0.508918
Bundesverteidigungsministerium,Bundesverteidigungsministerium,,government/executive,GERMANY,"#717F75",1,6,11,17,8,15,23,8,0.306494,0.385038,939.516667,0.088675,0.220037,5,0.003577,86,0.058333,0.293061
French Government,French Government,,government/executive,FRANCE,"#6A886D",1,9,6,15,9,6,15,8,0.344023,0.40001,3272.45,0.09508,0.133102,18,0.008035,86,0.045455,0.483373
OSCE,OSCE,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,2,2,5,0.363636,0.452083,0,0,0.00003,22,0.000915,137,0,0
Ukrainian President,Ukrainian President,,government/executive,UKRAINE,"#E07595",1,2,3,5,4,4,8,4,0.5,0.654762,9,0.000225,0,22,0.002123,126,0,0.012255
Okologisch-Demokratische Partei,Okologisch-Demokratische Partei,,political parties,GERMANY,"#717F75",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,138,0,0
Alliance Against Displacement and Rents Madness,Alliance Against Displacement and Rents Madness,,solidarity and human rights organisations,GERMANY,"#717F75",2,0,1,1,0,1,1,1,1,1,0,0,0,6,0.000915,140,0,0
AKP,AKP,,political parties,TURKEY,"#D16D79",3,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000915,142,0,0
President of Turkey,President of Turkey,,government/executive,TURKEY,"#D16D79",3,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000915,143,0,0
Christlich Soziale Union,Christlich Soziale Union,,political parties,GERMANY,"#717F75",1,2,7,9,2,7,9,8,0.280285,0.349385,816.966667,0.10412,0.092394,18,0.001322,86,0.083333,0.191708
Progressive Alliance of Socialists and Democrats,Progressive Alliance of Socialists and Democrats,,political parties,EUROPEAN UNION,"#5C9A5C",1,1,3,4,4,3,7,9,0.236948,0.278232,102.5,0.029479,0.017032,4,0.001191,86,0,0.095986
European Commissioner for Justice,European Commissioner for Justice,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,2,2,0,2,2,1,1,1,0,0,0.003852,1,0.000915,144,0,0
Committee on Budgetary Control,Committee on Budgetary Control,,other state executive agencies,EUROPEAN UNION,"#5C9A5C",1,1,1,2,1,2,3,8,0.255708,0.316645,56,0,0.054999,1,0.001693,145,0,0.003264
Partidul Conservator,Partidul Conservator,,political parties,ROMANIA,"#F9F332",1,0,1,1,0,1,1,9,0.206522,0.244263,0,0,0,1,0.000915,146,0,0
Bundestagspräsident,Bundestagspräsident,,legislative,GERMANY,"#717F75",4,0,2,2,0,2,2,1,1,1,0,0,0,8,0.000915,149,0,0
Lega Nord,Lega Nord,,political parties,ITALY,"#B85D6F",1,1,3,4,1,3,4,3,0.447368,0.519608,1,0.067905,0.035739,15,0.000942,117,0.166667,0.003264
UK Conservative Party,UK Conservative Party,,political parties,UNITED KINGDOM,"#E879A3",1,0,2,2,0,3,3,11,0.170243,0.201334,0,0,0.076662,13,0.000915,150,0.5,0
Belgian Government,Belgian Government,,government/executive,BELGIUM,"#64638E",1,3,1,4,3,2,5,14,0.119048,0.184346,9.166667,0.114964,0.011164,9,0.00317,46,0,0.193173
European Court of Justice,European Court of Justice,,judiciary,EUROPEAN UNION,"#5C9A5C",1,14,7,21,15,7,22,13,0.134804,0.263421,3276.166667,0.08333,0.059016,9,0.017798,46,0.007895,0.57144
Brexit negotiator,Brexit negotiator,,government/executive,EUROPEAN UNION,"#5C9A5C",1,1,3,4,1,3,4,8,0.265403,0.345217,145.7,0.018827,0.100093,1,0.001259,87,0.166667,0.013443
GroenLinks,GroenLinks,,legislative,NETHERLANDS,"#FFB415",1,0,2,2,0,2,2,8,0.259091,0.328634,0,0,0.056023,1,0.000915,152,0,0
Group of MEP's,Group of MEP's,,legislative,EUROPEAN UNION,"#5C9A5C",1,0,2,2,0,2,2,8,0.256881,0.325574,0,0,0.058073,1,0.000915,153,0.5,0
BDI - Bundesverband der deutschen Industrie,BDI - Bundesverband der deutschen Industrie,,economists and financial experts,GERMANY,"#717F75",1,0,2,2,0,2,2,7,0.296758,0.342737,0,0,0.05359,9,0.000915,154,0,0
Greenpeace,Greenpeace,,environmental organisations and groups,NA,"#FFA910",1,0,3,3,0,3,3,7,0.302799,0.353241,0,0,0.071187,9,0.000915,155,0.166667,0
DGB,DGB,,unions and employees,GERMANY,"#717F75",1,0,5,5,0,5,5,15,0.122153,0.241087,0,0,0.121288,15,0.000915,158,0,0
Mayor of Freising,Mayor of Freising,,government/executive,GERMANY,"#717F75",5,0,1,1,0,1,1,1,1,1,0,0,0,10,0.000915,160,0,0
Alternative fur Deutschland,Alternative fur Deutschland,,political parties,GERMANY,"#717F75",1,0,1,1,0,2,2,2,0.555556,0.6,0,0,0.066359,13,0.000915,161,0,0
Government of Burkina Faso,Government of Burkina Faso,,government/executive,BURKINA FASO,"#3B87A2",1,1,1,2,1,1,2,1,1,1,74,0.036214,0.017553,15,0.001295,78,0,0.188444
Austrian PM,Austrian PM,,government/executive,AUSTRIA,"#944863",6,0,1,1,0,1,1,1,1,1,0,0,0,11,0.000915,163,0,0
Freiheitliche Partei Osterreichs,Freiheitliche Partei Osterreichs,,political parties,AUSTRIA,"#944863",6,0,1,1,0,1,1,1,1,1,0,0,0,11,0.000915,164,0,0
Augsburg University,Augsburg University,,educational professionals and organisations,GERMANY,"#717F75",1,0,2,2,0,2,2,9,0.281324,0.330155,0,0,0.108785,13,0.000915,165,0,0
Christlich Demokratische Union,Christlich Demokratische Union,,political parties,GERMANY,"#717F75",1,3,5,8,3,5,8,8,0.27027,0.36498,81.5,0.067532,0.081989,22,0.001857,100,0.035714,0.014242
European Conservatives and Reformist Group,European Conservatives and Reformist Group,,political parties,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,1,1,2,0.555556,0.6,0,0,0.066359,13,0.000915,166,0,0
Tax Justice Network,Tax Justice Network,,other scientific and research professionals and institutions,UNITED KINGDOM,"#E879A3",1,0,1,1,0,1,1,9,0.206522,0.244263,0,0,0,1,0.000915,168,0,0
EU Commissioner for Competition,EU Commissioner for Competition,,government/executive,EUROPEAN UNION,"#5C9A5C",1,0,3,3,0,3,3,10,0.219601,0.252689,0,0,0.008298,12,0.000915,171,0,0
Schmit Laurent,Schmit Laurent,,economists and financial experts,FRANCE,"#6A886D",1,0,1,1,0,1,1,1,1,1,0,0,0.008,12,0.000915,172,0,0
OECD,OECD,,government/executive,NA,"#FFA910",1,0,1,1,0,1,1,1,1,1,0,0,0.008,12,0.000915,173,0,0
TAXE special committee,TAXE special committee,,legislative,EUROPEAN UNION,"#5C9A5C",1,0,1,1,0,1,1,1,1,1,0,0,0.008,12,0.000915,174,0,0
Luxembourg Government,Luxembourg Government,,government/executive,LUXEMBOURG,"#F17815",1,1,1,2,1,1,2,8,0.255708,0.316645,56,0,0.054999,1,0.001693,167,0,0.003264
Sozialdemokratische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,,political parties,GERMANY,"#717F75",1,0,8,8,0,8,8,9,0.342541,0.405744,0,0,0.202783,22,0.000915,175,0.071429,0
Dutch PM,Dutch PM,,government/executive,NETHERLANDS,"#FFB415",1,1,2,3,1,2,3,9,0.275058,0.320241,76,0.036214,0.05542,24,0.001295,86,0,0.188444
France,France,,whole polities,FRANCE,"#6A886D",1,4,1,5,4,1,5,1,1,1,53.5,0.039636,0.005032,15,0.00691,3,0.05,0.146883
