Id,Label,timeset,act_type,act_nat,colour,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
Polish PM,Polish PM,,government/executive,POLAND,"#FFE428",0,9,17,26,10,22,32,8,0.339658,0.394463,13136.001605,0.042189,0.147566,27,0.001379,200,0.04529,0.113501
French Government,French Government,,government/executive,FRANCE,"#6A886D",0,30,15,45,33,22,55,8,0.335835,0.387247,25037.531909,0.129432,0.113638,22,0.006188,200,0.035976,0.251559
Platforma Obywatelska,Platforma Obywatelska,,political parties,POLAND,"#FFE428",0,10,26,36,14,43,57,9,0.342584,0.402621,11982.317023,0.041305,0.149182,51,0.001688,200,0.078629,0.044202
Prawo i Sprawiedliwosc,Prawo i Sprawiedliwosc,,political parties,POLAND,"#FFE428",0,26,18,44,39,29,68,9,0.320789,0.378273,21806.74711,0.053573,0.137971,51,0.004961,200,0.04939,0.081611
Speaker of the House of Commons,Speaker of the House of Commons,,legislative,UNITED KINGDOM,"#E879A3",0,0,3,3,0,4,4,10,0.2291,0.255798,0,0,0.017585,47,0.000264,201,0.666667,0
House of Commons,House of Commons,,legislative,UNITED KINGDOM,"#E879A3",0,7,3,10,11,8,19,10,0.228754,0.255116,1448.604951,0.042408,0.014556,47,0.002055,200,0.107143,0.096886
UK Government,UK Government,,government/executive,UNITED KINGDOM,"#E879A3",0,29,9,38,48,14,62,9,0.268567,0.305162,9642.49643,0.072309,0.063445,47,0.007045,200,0.012605,0.131053
La Nazione,La Nazione,,media and journalists,ITALY,"#B85D6F",0,0,7,7,0,7,7,10,0.251377,0.292486,0,0,0.063468,33,0.000264,208,0.047619,0
Partito Democratico,Partito Democratico,,political parties,ITALY,"#B85D6F",0,4,17,21,6,47,53,9,0.3052,0.365637,4981.448129,0.024454,0.10466,3,0.000883,200,0.117647,0.076202
Lega Nord,Lega Nord,,political parties,ITALY,"#B85D6F",0,19,20,39,28,27,55,9,0.308887,0.372387,14552.379895,0.106638,0.142271,3,0.002813,200,0.061497,0.217498
Italian Government,Italian Government,,government/executive,ITALY,"#B85D6F",0,54,22,76,103,43,146,8,0.336466,0.393393,36489.501757,0.206181,0.154374,3,0.011544,200,0.043124,0.557864
Export USA,Export USA,,employers organisations and firms,UNITED STATES,"#EF7DB1",0,0,1,1,0,1,1,1,1,1,0,0,0.010884,3,0.000264,209,0,0
Gilet jaunes,Gilet jaunes,,activists and protestors,FRANCE,"#6A886D",0,1,3,4,1,4,5,9,0.268456,0.295782,80.512879,0.000638,0.024723,22,0.000428,210,0.166667,0.001771
University of Verona,University of Verona,,educational professionals and organisations,ITALY,"#B85D6F",0,0,3,3,0,3,3,10,0.207036,0.232161,0,0,0.060169,52,0.000264,211,0,0
