Id,Label,timeset,act_type,act_nat,colour,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
French vox pop,French vox pop,,the general public,FRANCE,"#6A886D",0,0,1,1,0,3,3,4,0.37037,0.425,0,0,0.022452,58,0.001043,10,0,0
Sciences Po University,Sciences Po University,,educational professionals and organisations,FRANCE,"#6A886D",0,0,1,1,0,1,1,4,0.37037,0.425,0,0,0.022452,58,0.001043,11,0,0
Kings College London University,Kings College London University,,educational professionals and organisations,UNITED KINGDOM,"#E879A3",0,0,1,1,0,1,1,1,1,1,0,0,0.00327,6,0.001043,13,0,0
NRC Handelsblad,NRC Handelsblad,,media and journalists,NETHERLANDS,"#FFB415",0,0,22,22,0,28,28,5,0.454545,0.573125,0,0,0.392534,4,0.001043,75,0.028139,0
UK Conservative Party,UK Conservative Party,,political parties,UNITED KINGDOM,"#E879A3",0,5,4,9,5,5,10,4,0.351351,0.419872,61,0.130716,0.035982,4,0.004055,71,0.214286,0.328486
Stevens Barry,Stevens Barry,,media and journalists,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.015256,4,0.001043,76,0,0
European Parliament,European Parliament,,legislative,EUROPEAN UNION,"#5C9A5C",0,7,5,12,7,5,12,2,0.692308,0.777778,119.25,0.107035,0.054125,41,0.004495,55,0.060606,0.174095
VisNed,VisNed,,farmers and agricultural organisations,NETHERLANDS,"#FFB415",0,0,2,2,0,2,2,3,0.483871,0.533333,0,0,0.112226,41,0.001043,77,0,0
Government of Czech Republic,Government of Czech Republic,,government/executive,CZECH REPUBLIC,"#47A265",1,1,1,2,1,1,2,2,0.666667,0.75,0,0,0,0,0.002326,79,0,0.017192
European Court of Justice,European Court of Justice,,judiciary,EUROPEAN UNION,"#5C9A5C",1,1,2,3,1,2,3,1,1,1,1,0,0,0,0.00302,79,0,0.017192
Clingendael Institute,Clingendael Institute,,other scientific and research professionals and institutions,NETHERLANDS,"#FFB415",0,0,1,1,0,2,2,2,0.6,0.666667,0,0,0.029603,11,0.001043,80,0,0
French Government,French Government,,government/executive,FRANCE,"#6A886D",0,11,2,13,13,2,15,3,0.529412,0.592593,166,0.159823,0.054208,58,0.007766,9,0.044872,0.190401
Dupont-Aignan Nicholas,Dupont-Aignan Nicholas,,politicians,FRANCE,"#6A886D",2,0,1,1,0,1,1,1,1,1,0,0,0,42,0.001043,82,0,0
VNO-NCW,VNO-NCW,,employers organisations and firms,NETHERLANDS,"#FFB415",0,0,1,1,0,1,1,2,0.545455,0.583333,0,0,0.097189,9,0.001043,83,0,0
